#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
pontic;Pontic;;;;;;;;;;;;;
auletian;Auletian;;;;;;;;;;;;;
shartan;Shartan;;;;;;;;;;;;;
shahran;Shahran;;;;;;;;;;;;;
doshastan;Doshastan;;;;;;;;;;;;;
wedemer;Wedemer;;;;;;;;;;;;;
hamult;Hamult;;;;;;;;;;;;;
slavya;Slavya;;;;;;;;;;;;;
melin;Melin;;;;;;;;;;;;;
niser;Niser;;;;;;;;;;;;;
nordic;Nordic;;;;;;;;;;;;;
bernican;Bernican;;;;;;;;;;;;;
sautan;Sautan;;;;;;;;;;;;;
orillan;Orillan;;;;;;;;;;;;;
livaish;Livaish;;;;;;;;;;;;;
spalenish;Spalenish;;;;;;;;;;;;;
#empire_auletian;Impero;;;;;;;;;;;;;
#empire_of_auletian;Impero of;;;;;;;;;;;;;
emperor_auletian;Imperatore;;;;;;;;;;;;;
king_auletian;Principe;;;;;;;;;;;;;
kingdom_auletian;Principato;;;;;;;;;;;;;
kingdom_of_auletian;Principato of;;;;;;;;;;;;;
vice_royalty_duke_auletian;Provveditore;;;;;;;;;;;;;
vice_royalty_duchy_auletian;Provveditorate;;;;;;;;;;;;;
vice_royalty_duchy_of_auletian;Provveditorate of;;;;;;;;;;;;;
emperor_melin;Wanaz;;;;;;;;;;;;;
king_melin;Arhiknyaz;;;;;;;;;;;;;
kingdom_melin;Arhiknyazsvo;;;;;;;;;;;;;
kingdom_of_melin;Arhiknyazsvo of;;;;;;;;;;;;;
duke_melin;Knyaz;;;;;;;;;;;;;
duchy_melin;Knyazsvo;;;;;;;;;;;;;
duchy_of_melin;Knyazsvo of;;;;;;;;;;;;;
emperor_doshastan;Shahanshah;;;;;;;;;;;;;
king_doshastan;Shah;;;;;;;;;;;;;
kingdom_doshastan;Shahdom;;;;;;;;;;;;;
kingdom_of_doshastan;Shahdom of;;;;;;;;;;;;;
duke_doshastan;Spahbad;;;;;;;;;;;;;
duchy_doshastan;Kusht;;;;;;;;;;;;;
duchy_of_doshastan;Kusht of;;;;;;;;;;;;;
emperor_shahran;Shahanshah;;;;;;;;;;;;;
king_shahran;Shah;;;;;;;;;;;;;
kingdom_shahran;Shahdom;;;;;;;;;;;;;
kingdom_of_shahran;Shahdom of;;;;;;;;;;;;;
duke_shahran;Spahbad;;;;;;;;;;;;;
duchy_shahran;Kusht;;;;;;;;;;;;;
duchy_of_shahran;Kusht of;;;;;;;;;;;;;
hestian;Hestian;;;;;;;;;;;;;
kraitan;Kraitan;;;;;;;;;;;;;
empire_kraitan;Hegemonia;;;;;;;;;;;;;
empire_of_kraitan;Hegemonia of;;;;;;;;;;;;;
emperor_kraitan;Hegemon;;;;;;;;;;;;;
king_kraitan;Archon;;;;;;;;;;;;;
kingdom_kraitan;Arche;;;;;;;;;;;;;
kingdom_of_kraitan;Arche of;;;;;;;;;;;;;
heavenly_king_kraitan;Hierarch;;;;;;;;;;;;;
heavenly_kingdom_kraitan;Hierarchy;;;;;;;;;;;;;
heavenly_kingdom_of_kraitan;Hierarchy of;;;;;;;;;;;;;
heavenly_duke_kraitan;Hierostrategos;;;;;;;;;;;;;
heavenly_duchy_kraitan;Eparchia;;;;;;;;;;;;;
heavenly_duchy_of_kraitan;Eparchia of;;;;;;;;;;;;;
duke_kraitan;Doukas;;;;;;;;;;;;;
duchy_kraitan;Duchy;;;;;;;;;;;;;
duchy_of_kraitan;Duchy of;;;;;;;;;;;;;
#vice_royalty_duke_kraitan;Doukas;;;;;;;;;;;;;
#vice_royalty_duchy_kraitan;Duchy;;;;;;;;;;;;;
#vice_royalty_duchy_of_kraitan;Duchy of;;;;;;;;;;;;;
