#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
faction_call_for_reform_1_short;Call for Reform;;;;;;;;;;;;;
faction_call_for_reform_2_short;Call for Reform;;;;;;;;;;;;;
faction_call_for_reform_3_short;Call for Reform;;;;;;;;;;;;;
faction_call_for_reform_4_short;Call for Reform;;;;;;;;;;;;;
faction_call_for_reform_1_title;Call for Reform in [This.GetName];;;;;;;;;;;;;
faction_call_for_reform_2_title;Call for Reform in [This.GetName];;;;;;;;;;;;;
faction_call_for_reform_3_title;Call for Reform in [This.GetName];;;;;;;;;;;;;
faction_call_for_reform_4_title;Call for Reform in [This.GetName];;;;;;;;;;;;;
faction_call_for_reform_1_desc;Members seek to alter laws of [This.GetName] through seizing central government by any means available.;;;;;;;;;;;;;
faction_call_for_reform_2_desc;Members seek to alter laws of [This.GetName] through seizing central government by any means available.;;;;;;;;;;;;;
faction_call_for_reform_3_desc;Members seek to alter laws of [This.GetName] through seizing central government by any means available.;;;;;;;;;;;;;
faction_call_for_reform_4_desc;Members seek to alter laws of [This.GetName] through seizing central government by any means available.;;;;;;;;;;;;;
EVTDESCPARTY1;EVTDESCPARTY1;;;;;;;;;;;;;
EVTOPTAPARTY1;EVTOPTAPARTY1;;;;;;;;;;;;;
EVTOPTBPARTY1;EVTOPTBPARTY1;;;;;;;;;;;;;
EVTDESCPARTY2;EVTDESCPARTY2;;;;;;;;;;;;;
EVTOPTAPARTY2;EVTOPTAPARTY2;;;;;;;;;;;;;
EVTOPTBPARTY2;EVTOPTBPARTY2;;;;;;;;;;;;;
EVTDESCPARTY3;EVTDESCPARTY3;;;;;;;;;;;;;
EVTOPTAPARTY3;EVTOPTAPARTY3;;;;;;;;;;;;;
EVTOPTBPARTY3;EVTOPTBPARTY3;;;;;;;;;;;;;
EVTDESCPARTY4;EVTDESCPARTY4;;;;;;;;;;;;;
EVTOPTAPARTY4;EVTOPTAPARTY4;;;;;;;;;;;;;
EVTOPTBPARTY4;EVTOPTBPARTY4;;;;;;;;;;;;;
EVTDESCPARTY5;EVTDESCPARTY5;;;;;;;;;;;;;
EVTOPTAPARTY5;EVTOPTAPARTY5;;;;;;;;;;;;;
